Logger, TechAgentLk:         	Automatically truncated logfile to 1048576, MadelineProto 8.6.0
AbstractServer, TechAgentLk: 	Got error while trying to send error of error of downloadToCallable: Amp\Ipc\Sync\ChannelException: The channel was already closed! in phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/ipc/lib/Sync/ChannelledSocket.php:39
Stack trace:
#0 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/madelineproto/src/Ipc/AbstractServer.php(279): Amp\Ipc\Sync\ChannelledSocket->send()
#1 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): danog\MadelineProto\Ipc\AbstractServer->clientRequest()
#2 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#3 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#4 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(171): Fiber->throw()
#5 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::throw():168}()
#6 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(567): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#7 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#8 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(171): Fiber->throw()
#9 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::throw():168}()
#10 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#11 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#12 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#13 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::resume():61}()
